video_action_table/val/0: +---------------------------+-------------------------------------------------------------+------------------------------------------------------+---------------------------------------------------------------------------+-----------------------------------------------------------------------------------+
|            Task           |                         Observation                         |                      Actions_gt                      |                                Actions_pred                               |                                    Sensor_path                                    |
+---------------------------+-------------------------------------------------------------+------------------------------------------------------+---------------------------------------------------------------------------+-----------------------------------------------------------------------------------+
|    search for a toilet    | <wandb.sdk.data_types.video.Video object at 0x7f9972803950> |  ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm']  |       ['zp', 'zp', 'zp', 'zms', 'zms', 'zp', 'zp', 'zp', 'zp', 'zp']      | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/003403/raw_navigation_camera__4.mp4 |
|       find an apple       | <wandb.sdk.data_types.video.Video object at 0x7f97f3e25650> |  ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'r', 'm', 'm']  |        ['zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp']       | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/001619/raw_navigation_camera__3.mp4 |
|  navigate to a houseplant | <wandb.sdk.data_types.video.Video object at 0x7f97f3e29d50> | ['r', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'l', 'end'] |        ['zp', 'zp', 'zp', 'zp', 'zp', 'wm', 'wm', 'zp', 'zp', 'wm']       | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/004656/raw_navigation_camera__3.mp4 |
|      locate a toilet      | <wandb.sdk.data_types.video.Video object at 0x7f943c774d50> |  ['m', 'l', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'r']  |        ['zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp']       | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/001183/raw_navigation_camera__3.mp4 |
| search for an alarm clock | <wandb.sdk.data_types.video.Video object at 0x7f943c85c790> |  ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm']  |    ['end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'zp', 'zp']   | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/001217/raw_navigation_camera__4.mp4 |
|    locate a houseplant    | <wandb.sdk.data_types.video.Video object at 0x7f943c772a90> |  ['r', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm']  | ['sub_done', 'zp', 'zp', 'end', 'end', 'end', 'end', 'end', 'end', 'end'] | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/002063/raw_navigation_camera__0.mp4 |
|        locate a bed       | <wandb.sdk.data_types.video.Video object at 0x7f943ce52390> |  ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm']  |        ['zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp']       | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/002034/raw_navigation_camera__9.mp4 |
|       find a toilet       | <wandb.sdk.data_types.video.Video object at 0x7f943c7734d0> |  ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'l', 'l']  |        ['zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp', 'zp']       | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/000791/raw_navigation_camera__1.mp4 |
|    locate a houseplant    | <wandb.sdk.data_types.video.Video object at 0x7f9972970250> |  ['r', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm']  | ['sub_done', 'zp', 'zp', 'end', 'end', 'end', 'end', 'end', 'end', 'end'] | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/002063/raw_navigation_camera__0.mp4 |
|  search for a television  | <wandb.sdk.data_types.video.Video object at 0x7f9972914710> |  ['m', 'm', 'm', 'm', 'm', 'm', 'l', 'l', 'm', 'm']  |      ['zp', 'zp', 'zp', 'zp', 'zp', 'zms', 'zms', 'zms', 'zms', 'zp']     | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/001620/raw_navigation_camera__1.mp4 |
+---------------------------+-------------------------------------------------------------+------------------------------------------------------+---------------------------------------------------------------------------+-----------------------------------------------------------------------------------+

