video_action_table/val/0: +---------------------------+-------------------------------------------------------------+-------------------------------------------------------+----------------------------------------------------+-----------------------------------------------------------------------------------+
|            Task           |                         Observation                         |                       Actions_gt                      |                    Actions_pred                    |                                    Sensor_path                                    |
+---------------------------+-------------------------------------------------------------+-------------------------------------------------------+----------------------------------------------------+-----------------------------------------------------------------------------------+
|    search for an apple    | <wandb.sdk.data_types.video.Video object at 0x7f38e1efe3d0> |   ['m', 'm', 'm', 'm', 'm', 'm', 'l', 'm', 'm', 'm']  | ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm'] | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/003080/raw_navigation_camera__5.mp4 |
|   locate an alarm clock   | <wandb.sdk.data_types.video.Video object at 0x7f38e1eac550> |   ['l', 'l', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'l']  | ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm'] | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/000815/raw_navigation_camera__5.mp4 |
|  navigate to a houseplant | <wandb.sdk.data_types.video.Video object at 0x7f33e0cddfd0> |   ['l', 'l', 'l', 'r', 'b', 'l', 'b', 'r', 'l', 'm']  | ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm'] | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/000589/raw_navigation_camera__3.mp4 |
|        go to a vase       | <wandb.sdk.data_types.video.Video object at 0x7f38e1eb8490> |   ['m', 'r', 'r', 'm', 'm', 'm', 'm', 'm', 'm', 'm']  | ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm'] | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/003293/raw_navigation_camera__8.mp4 |
|     go to a trash can     | <wandb.sdk.data_types.video.Video object at 0x7f33e9d100d0> | ['l', 'm', 'm', 'm', 'm', 'l', 'm', 'r', 'rs', 'end'] | ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm'] | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/001471/raw_navigation_camera__1.mp4 |
|        find a bowl        | <wandb.sdk.data_types.video.Video object at 0x7f38e23e7390> |   ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'r', 'm', 'm']  | ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm'] | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/004945/raw_navigation_camera__3.mp4 |
| search for an alarm clock | <wandb.sdk.data_types.video.Video object at 0x7f33e0c5f5d0> |   ['m', 'm', 'm', 'l', 'm', 'm', 'm', 'm', 'm', 'm']  | ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm'] | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/001568/raw_navigation_camera__6.mp4 |
|        go to a bowl       | <wandb.sdk.data_types.video.Video object at 0x7f38e1eac2d0> |   ['m', 'm', 'm', 'm', 'l', 'l', 'm', 'm', 'm', 'r']  | ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm'] | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/004005/raw_navigation_camera__6.mp4 |
|  navigate to a television | <wandb.sdk.data_types.video.Video object at 0x7f38e1eadc50> |   ['m', 'm', 'm', 'l', 'm', 'm', 'm', 'm', 'm', 'm']  | ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm'] | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/001209/raw_navigation_camera__8.mp4 |
|     go to a trash can     | <wandb.sdk.data_types.video.Video object at 0x7f33e0cc5e10> | ['l', 'm', 'm', 'm', 'm', 'l', 'm', 'r', 'rs', 'end'] | ['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm'] | /nfs4/lint/PoliData/fifteen/ObjectNavType/val/001471/raw_navigation_camera__1.mp4 |
+---------------------------+-------------------------------------------------------------+-------------------------------------------------------+----------------------------------------------------+-----------------------------------------------------------------------------------+

